time (s), (volts), (volts), (volts)
5691.55,0.60,0.27,-0.10
5691.56,0.60,0.25,-0.12
5691.57,0.60,0.20,-0.14
5691.58,0.60,0.20,-0.15
5691.59,0.60,0.14,-0.16
5691.60,0.60,0.10,-0.16
5691.61,0.60,0.06,-0.15
5691.62,0.60,0.02,-0.15
5691.63,0.60,-0.03,-0.13
5691.64,0.60,-0.07,-0.11
5691.65,0.60,-0.11,-0.09
5691.66,0.60,-0.14,-0.06
5691.67,0.60,-0.15,-0.05
5691.68,0.60,-0.19,0.00
5691.69,0.60,-0.19,-2.45
5691.70,0.60,-0.18,-2.97
5691.71,0.60,-0.17,0.14
5691.72,0.60,-0.15,0.16
5691.73,0.60,-0.12,0.23
5691.74,0.60,-0.08,0.26
5691.75,0.60,-0.05,0.29
5691.76,0.60,-0.03,0.30
5691.77,0.60,0.01,0.30
5691.78,0.60,0.05,0.30
5691.79,0.60,0.12,0.28
5691.80,0.60,0.16,0.28
5691.81,0.60,0.19,-8.81
5691.82,0.60,0.22,0.18
5691.83,0.60,0.24,0.12
5691.84,0.60,0.26,0.06
5691.85,0.60,0.27,0.02
5691.86,0.60,0.28,-0.02
5691.87,0.60,0.28,-0.06
5691.88,0.60,0.27,-0.08
5691.89,0.60,0.26,-0.11
5691.90,0.60,0.23,-0.13
5691.91,0.60,0.20,-0.15
5691.92,0.60,0.18,-0.16
5691.93,0.60,0.13,-0.16
5691.94,0.60,0.08,-0.15
5691.95,0.60,0.04,-0.15
5691.96,0.60,0.00,-0.14
5691.97,0.60,-0.04,-0.12
5691.98,0.60,-0.09,-0.10
5691.99,0.60,-0.13,-0.07
5692.00,0.60,-0.16,-0.06
5692.01,0.60,-0.16,-0.02
5692.02,0.60,-0.19,-1.88
5692.03,0.60,-0.18,-2.47
5692.04,0.60,-0.16,0.11
5692.05,0.60,-0.16,0.16
5692.06,0.60,-0.12,0.22
5692.07,0.60,-0.09,0.25
5692.08,0.60,-0.05,0.28
5692.09,0.60,-0.02,0.29
5692.10,0.60,0.01,0.30
5692.11,0.60,0.06,0.30
5692.12,0.60,0.11,0.28
5692.13,0.60,0.15,0.28
5692.14,0.60,0.18,-3.36
5692.15,0.60,0.21,-8.81
5692.16,0.60,0.24,0.14
5692.17,0.60,0.26,0.09
5692.18,0.60,0.27,0.04
5692.19,0.60,0.28,-0.01
5692.20,0.60,0.28,-0.05
5692.21,0.60,0.28,-0.08
5692.22,0.60,0.27,-0.11
5692.23,0.60,0.26,-0.12
5692.24,0.60,0.22,-0.14
5692.25,0.60,0.19,-0.15
5692.26,0.60,0.14,-0.16
5692.27,0.60,0.10,-0.16
5692.28,0.60,0.06,-0.15
5692.29,0.60,0.02,-0.14
5692.30,0.60,-0.03,-0.13
5692.31,0.60,-0.07,-0.11
5692.32,0.60,-0.12,-0.08
5692.33,0.60,-0.14,-0.05
5692.34,0.60,-0.15,-0.05
5692.35,0.60,-0.20,0.00
5692.36,0.60,-0.18,-3.08
5692.37,0.60,-0.17,-3.47
5692.38,0.60,-0.15,0.17
5692.39,0.60,-0.13,0.17
5692.40,0.60,-0.10,0.24
5692.41,0.60,-0.06,0.26
5692.42,0.60,-0.03,0.28
5692.43,0.60,0.00,0.30
5692.44,0.60,0.04,0.30
5692.45,0.60,0.10,0.29
5692.46,0.60,0.14,0.28
5692.47,0.60,0.17,0.26
5692.48,0.60,0.21,0.21
5692.49,0.60,0.23,0.15
5692.50,0.60,0.25,0.10
5692.51,0.60,0.26,0.05
5692.52,0.60,0.28,0.01
5692.53,0.60,0.28,-0.04
5692.54,0.60,0.28,-0.08
5692.55,0.60,0.27,-0.11
5692.56,0.60,0.26,-0.13
5692.57,0.60,0.22,-0.14
5692.58,0.60,0.20,-0.15
5692.59,0.60,0.15,-0.16
5692.60,0.60,0.11,-0.16
5692.61,0.60,0.07,-0.15
5692.62,0.60,0.03,-0.15
5692.63,0.61,-0.02,-0.13
5692.64,0.60,-0.06,-0.11
5692.65,0.60,-0.10,-0.09
5692.66,0.60,-0.14,-0.06
5692.67,0.60,-0.14,-0.05
5692.68,0.60,-0.19,-0.01
5692.69,0.60,-0.18,-2.46
5692.70,0.60,-0.17,-6.53
5692.71,0.60,-0.16,0.13
5692.72,0.60,-0.14,0.15
5692.73,0.60,-0.11,0.22
5692.74,0.60,-0.07,0.26
5692.75,0.60,-0.03,0.28
5692.76,0.60,0.00,0.29
5692.77,0.60,0.02,0.30
5692.78,0.60,0.08,0.30
5692.79,0.60,0.13,0.28
5692.80,0.60,0.17,0.27
5692.81,0.60,0.20,-6.99
5692.82,0.60,0.23,-5.33
5692.83,0.60,0.25,0.11
5692.84,0.60,0.26,0.06
5692.85,0.60,0.27,0.01
5692.86,0.60,0.28,-0.03
5692.87,0.60,0.28,-0.07
5692.88,0.60,0.27,-0.09
5692.89,0.60,0.26,-0.12
5692.90,0.60,0.22,-0.13
5692.91,0.60,0.21,-0.15
5692.92,0.60,0.16,-0.16
5692.93,0.60,0.12,-0.16
5692.94,0.60,0.08,-0.16
5692.95,0.60,0.03,-0.15
5692.96,0.60,-0.01,-0.14
5692.97,0.60,-0.06,-0.12
5692.98,0.60,-0.10,-0.10
5692.99,0.60,-0.13,-0.07
5693.00,0.60,-0.14,-0.05
5693.01,0.60,-0.20,-0.02
5693.02,0.60,-0.19,-1.21
5693.03,0.60,-0.18,0.05
5693.04,0.60,-0.18,0.09
5693.05,0.60,-0.15,0.13
5693.06,0.60,-0.12,0.21
5693.07,0.60,-0.08,0.25
5693.08,0.60,-0.06,0.28
5693.09,0.60,-0.03,0.29
5693.10,0.60,0.01,0.30
5693.11,0.60,0.06,0.30
5693.12,0.60,0.12,0.29
5693.13,0.60,0.15,0.28
5693.14,0.60,0.19,-3.36
5693.15,0.60,0.22,-8.81
5693.16,0.60,0.24,0.14
5693.17,0.60,0.26,0.07
5693.18,0.60,0.27,0.02
5693.19,0.60,0.27,-0.01
5693.20,0.60,0.27,-0.05
5693.21,0.60,0.27,-0.09
5693.22,0.60,0.26,-0.11
5693.23,0.60,0.21,-0.13
5693.24,0.60,0.20,-0.15
5693.25,0.60,0.15,-0.16
5693.26,0.60,0.12,-0.17
5693.27,0.60,0.08,-0.16
5693.28,0.60,0.04,-0.16
5693.29,0.60,-0.01,-0.14
5693.30,0.60,-0.05,-0.13
5693.31,0.60,-0.10,-0.10
5693.32,0.60,-0.14,-0.08
5693.33,0.60,-0.14,-0.05
5693.34,0.60,-0.18,-0.04
5693.35,0.60,-0.19,-0.60
5693.36,0.60,-0.19,-1.78
5693.37,0.60,-0.18,0.08
5693.38,0.60,-0.16,0.17
5693.39,0.60,-0.13,0.18
5693.40,0.60,-0.10,0.24
5693.41,0.60,-0.06,0.27
5693.42,0.60,-0.03,0.29
5693.43,0.60,0.00,0.30
5693.44,0.60,0.06,0.31
5693.45,0.60,0.10,0.30
5693.46,0.60,0.14,0.28
5693.47,0.60,0.17,-3.36
5693.48,0.60,0.21,-8.81
5693.49,0.60,0.23,-5.23
5693.50,0.60,0.25,0.11
5693.51,0.60,0.26,0.05
