time (s), (volts), (volts), (volts)
5857.45,0.60,-0.22,0.03
5857.46,0.60,-0.25,-0.01
5857.47,0.60,-0.25,-0.04
5857.48,0.60,-0.27,-0.07
5857.49,0.60,-0.28,-0.10
5857.50,0.60,-0.28,-0.12
5857.51,0.60,-0.28,-0.15
5857.52,0.60,-0.28,-0.17
5857.53,0.60,-0.27,-0.19
5857.54,0.60,-0.26,-0.21
5857.55,0.60,-0.24,-0.23
5857.56,0.60,-0.23,-0.24
5857.57,0.60,-0.21,-0.25
5857.58,0.60,-0.19,-0.25
5857.59,0.60,-0.16,-0.25
5857.60,0.60,-0.13,-0.24
5857.61,0.60,-0.10,-0.23
5857.62,0.60,-0.06,-0.22
5857.63,0.60,-0.02,-0.20
5857.64,0.60,0.02,-0.17
5857.65,0.60,0.07,-0.15
5857.66,0.60,0.11,-0.12
5857.67,0.60,0.16,-0.09
5857.68,0.60,0.21,-0.06
5857.69,0.60,0.25,-0.03
5857.70,0.60,0.28,0.00
5857.71,0.60,0.31,0.03
5857.72,0.60,0.33,0.07
5857.73,0.60,0.35,0.10
5857.74,0.60,0.36,0.13
5857.75,0.60,0.36,0.16
5857.76,0.60,0.36,0.20
5857.77,0.60,0.36,0.22
5857.78,0.60,0.33,0.25
5857.79,0.60,0.31,0.27
5857.80,0.60,0.29,0.29
5857.81,0.60,0.27,0.31
5857.82,0.60,0.25,0.33
5857.83,0.60,0.22,0.33
5857.84,0.60,0.20,0.33
5857.85,0.60,0.16,0.33
5857.86,0.60,0.13,0.32
5857.87,0.60,0.10,0.30
5857.88,0.60,0.08,0.28
5857.89,0.60,0.03,0.25
5857.90,0.60,0.01,0.21
5857.91,0.60,-0.03,0.14
5857.92,0.60,-0.06,0.15
5857.93,0.60,-0.13,0.11
5857.94,0.60,-0.19,0.07
5857.95,0.60,-0.22,0.03
5857.96,0.60,-0.25,0.00
5857.97,0.60,-0.25,-0.04
5857.98,0.60,-0.27,-0.07
5857.99,0.60,-0.28,-0.10
5858.00,0.60,-0.29,-0.12
5858.01,0.60,-0.28,-0.15
5858.02,0.60,-0.28,-0.17
5858.03,0.60,-0.27,-0.19
5858.04,0.60,-0.26,-0.21
5858.05,0.60,-0.24,-0.23
5858.06,0.60,-0.23,-0.24
5858.07,0.60,-0.21,-0.24
5858.08,0.60,-0.18,-0.25
5858.09,0.60,-0.16,-0.25
5858.10,0.60,-0.13,-0.24
5858.11,0.60,-0.10,-0.23
5858.12,0.60,-0.06,-0.22
5858.13,0.60,-0.03,-0.20
5858.14,0.60,0.02,-0.18
5858.15,0.60,0.06,-0.15
5858.16,0.60,0.11,-0.12
5858.17,0.60,0.16,-0.09
5858.18,0.60,0.20,-0.06
5858.19,0.60,0.24,-0.03
5858.20,0.60,0.28,0.00
5858.21,0.60,0.31,0.03
5858.22,0.60,0.33,0.07
5858.23,0.60,0.35,0.10
5858.24,0.60,0.36,0.13
5858.25,0.60,0.37,0.16
5858.26,0.60,0.37,0.19
5858.27,0.60,0.36,0.22
5858.28,0.60,0.33,0.24
5858.29,0.60,0.31,0.27
5858.30,0.60,0.29,0.29
5858.31,0.60,0.27,0.31
5858.32,0.60,0.25,0.32
5858.33,0.60,0.22,0.33
5858.34,0.60,0.20,0.33
5858.35,0.60,0.17,0.33
5858.36,0.60,0.13,0.31
5858.37,0.60,0.10,0.30
5858.38,0.60,0.06,0.27
5858.39,0.60,0.02,0.25
5858.40,0.60,-0.01,0.20
5858.41,0.60,-0.03,0.16
5858.42,0.60,-0.06,0.14
5858.43,0.60,-0.12,0.10
5858.44,0.60,-0.19,0.07
5858.45,0.60,-0.22,0.03
5858.46,0.60,-0.25,0.00
5858.47,0.60,-0.25,-0.04
5858.48,0.60,-0.27,-0.07
5858.49,0.60,-0.28,-0.09
5858.50,0.60,-0.29,-0.12
5858.51,0.60,-0.29,-0.14
5858.52,0.60,-0.28,-0.17
5858.53,0.60,-0.27,-0.19
5858.54,0.60,-0.26,-0.20
5858.55,0.60,-0.25,-0.22
5858.56,0.60,-0.23,-0.23
5858.57,0.60,-0.21,-0.24
5858.58,0.60,-0.19,-0.24
5858.59,0.60,-0.16,-0.24
5858.60,0.60,-0.13,-0.23
5858.61,0.60,-0.10,-0.23
5858.62,0.60,-0.06,-0.21
5858.63,0.60,-0.02,-0.20
5858.64,0.60,0.02,-0.17
5858.65,0.60,0.07,-0.15
5858.66,0.60,0.12,-0.12
5858.67,0.60,0.16,-0.09
5858.68,0.60,0.21,-0.06
5858.69,0.60,0.25,-0.02
5858.70,0.60,0.28,0.01
5858.71,0.60,0.31,0.04
5858.72,0.60,0.34,0.07
5858.73,0.60,0.35,0.10
5858.74,0.60,0.36,0.13
5858.75,0.60,0.37,0.17
5858.76,0.60,0.37,0.19
5858.77,0.60,0.36,0.22
5858.78,0.60,0.33,0.24
5858.79,0.60,0.31,0.27
5858.80,0.60,0.29,0.28
5858.81,0.60,0.28,0.30
5858.82,0.60,0.25,0.32
5858.83,0.60,0.23,0.32
5858.84,0.60,0.20,0.32
5858.85,0.60,0.17,0.32
5858.86,0.60,0.13,0.31
5858.87,0.60,0.10,0.29
5858.88,0.60,0.07,0.27
5858.89,0.60,0.02,0.24
5858.90,0.60,0.00,0.21
5858.91,0.60,-0.02,0.17
5858.92,0.60,-0.06,0.14
5858.93,0.60,-0.14,0.10
5858.94,0.60,-0.18,0.06
5858.95,0.60,-0.22,0.03
5858.96,0.60,-0.25,-0.01
5858.97,0.60,-0.25,-0.04
5858.98,0.60,-0.27,-0.07
5858.99,0.60,-0.28,-0.10
5859.00,0.60,-0.29,-0.12
5859.01,0.60,-0.28,-0.15
5859.02,0.60,-0.28,-0.17
5859.03,0.60,-0.27,-0.19
5859.04,0.60,-0.26,-0.21
5859.05,0.60,-0.24,-0.23
5859.06,0.60,-0.23,-0.24
5859.07,0.60,-0.20,-0.24
5859.08,0.60,-0.18,-0.25
5859.09,0.60,-0.16,-0.25
5859.10,0.60,-0.13,-0.24
5859.11,0.60,-0.09,-0.23
5859.12,0.60,-0.06,-0.22
5859.13,0.60,-0.02,-0.19
5859.14,0.60,0.03,-0.17
5859.15,0.60,0.07,-0.15
5859.16,0.60,0.12,-0.12
5859.17,0.60,0.16,-0.09
5859.18,0.60,0.21,-0.06
5859.19,0.60,0.25,-0.02
5859.20,0.60,0.28,0.01
5859.21,0.60,0.31,0.04
5859.22,0.60,0.33,0.08
5859.23,0.60,0.35,0.11
5859.24,0.60,0.36,0.14
5859.25,0.60,0.37,0.17
5859.26,0.60,0.37,0.20
5859.27,0.60,0.36,0.23
5859.28,0.60,0.34,0.25
5859.29,0.60,0.31,0.27
5859.30,0.60,0.30,0.30
5859.31,0.60,0.28,0.31
5859.32,0.60,0.25,0.32
5859.33,0.60,0.23,0.33
5859.34,0.60,0.20,0.33
5859.35,0.60,0.17,0.32
5859.36,0.60,0.14,0.31
5859.37,0.60,0.11,0.29
5859.38,0.60,0.07,0.27
5859.39,0.60,0.04,0.24
5859.40,0.60,0.02,0.21
5859.41,0.60,-0.01,0.18
5859.42,0.60,-0.06,0.14
5859.43,0.60,-0.11,0.10
5859.44,0.60,-0.17,0.07
5859.45,0.60,-0.21,0.03
5859.46,0.60,-0.25,-0.01
5859.47,0.60,-0.25,-0.04
5859.48,0.60,-0.26,-0.07
5859.49,0.60,-0.27,-0.10
5859.50,0.60,-0.28,-0.12
5859.51,0.60,-0.28,-0.15
5859.52,0.60,-0.27,-0.17
5859.53,0.60,-0.26,-0.19
5859.54,0.60,-0.25,-0.21
5859.55,0.60,-0.24,-0.23
5859.56,0.60,-0.22,-0.24
5859.57,0.60,-0.20,-0.24
5859.58,0.60,-0.18,-0.25
5859.59,0.60,-0.15,-0.25
5859.60,0.60,-0.13,-0.24
5859.61,0.60,-0.09,-0.23
5859.62,0.60,-0.06,-0.22
5859.63,0.60,-0.02,-0.19
5859.64,0.60,0.02,-0.17
5859.65,0.60,0.06,-0.14
5859.66,0.60,0.11,-0.12
5859.67,0.60,0.15,-0.08
5859.68,0.60,0.20,-0.05
